EmployeeID,Name,Age,Gender,HireDate,YearsAtCompany,Department,Role,Location,AnnualSalaryINR,BonusPercent,PerformanceRating,TrainingHoursLastYear,EngagementScore,ManagerID,Location_Clean,AgeBucket,low_engagement,LastPromo_miss_flag,is_worst_mgr,PromotedLast12,SalaryRolePct,SalaryDeptPct,promote_prob_rf,promote_prob_log,promote_prob_rf_noleak,YearsAtCompany_sq,Engagement_x_Perf,SalaryPct_x_Years,ManagerID_te,Role_te,Department_te
AF100001,Rohan Sharma,35,Female,2011-06-26,14.4,HR,Senior Analyst,Mumbai,1404825,4.87,1,21,57.6,AF100120,Mumbai,35-39,1,0,1,0,0.7004950495049505,0.31604696673189825,0.0,0.0,,207.36,57.6,10.087128712871287,0.7333333333333333,0.3942457231726283,0.4072727272727273
AF100002,Sara Malhotra,45,Male,2011-03-10,14.7,HR,Manager,UAE,5447845,8.5,3,28,84.1,AF100004,UAE,45+,0,0,0,1,0.8718861209964412,0.8904109589041096,0.0,0.0,,216.08999999999997,252.29999999999998,12.816725978647685,0.3,0.4024390243902439,0.41811414392059554
AF100003,Ishaan Chatterjee,29,Male,2008-03-19,17.67,Sales,Senior Analyst,Delhi,926762,16.37,3,16,72.3,AF100374,Delhi,25-29,0,0,0,0,0.15532178217821782,0.10739614994934144,0.0,0.0,,312.22890000000007,216.89999999999998,2.744535891089109,0.16666666666666666,0.3885003885003885,0.3949367088607595
AF100004,Sunil Joshi,30,Male,2018-10-15,7.09,QA,Analyst,Hyderabad,904498,14.43,4,10,55.1,AF100099,Hyderabad,30-34,1,0,0,1,0.7060561299852289,0.10606060606060606,0.91,0.8911905039479995,0.49,50.2681,220.4,5.005937961595273,0.375,0.39757914338919925,0.3793969849246231
AF100005,Arjun Verma,41,Female,2013-01-14,12.84,Finance,Tech Lead,Pune,4528701,9.01,3,20,71.7,AF100108,Pune,40-44,0,0,0,1,0.463519313304721,0.8432377049180327,0.0,0.0,,164.8656,215.10000000000002,5.951587982832618,0.2222222222222222,0.4281842818428184,0.396078431372549
AF100006,Neha Iyer,35,Female,2016-01-21,9.82,Sales,Senior Consultant,Pune,2303413,15.6,3,14,83.4,AF100353,Pune,35-39,0,0,0,0,0.42524682651622003,0.6109422492401215,0.02,0.036026351740635405,0.365,96.4324,250.20000000000002,4.1759238363892806,0.3333333333333333,0.4046140195208518,0.40463917525773196
AF100007,Maya Reddy,34,Female,2010-10-09,15.11,Consulting,Senior Analyst,Bengaluru,1130180,9.69,5,14,85.6,AF100162,Bengaluru,30-34,0,0,0,0,0.411509900990099,0.2294921875,0.02,0.018848865684280756,0.36,228.3121,428.0,6.217914603960396,0.3888888888888889,0.3942457231726283,0.4155528554070474
AF100008,Aditya Bose,35,Male,2025-09-12,0.18,Operations,Senior Analyst,Chennai,1067885,12.74,3,20,76.7,AF100220,Chennai,35-39,0,1,0,0,0.3316831683168317,0.19076923076923077,0.12,0.7964462101189472,0.045,0.0324,230.10000000000002,0.0597029702970297,0.0,0.3885003885003885,0.3799237611181703
AF100009,Rahul Das,25,Male,2016-04-25,9.56,Sales,Senior Consultant,Mumbai,1999516,11.35,4,40,66.5,AF100198,Mumbai,25-29,0,0,0,1,0.2552891396332863,0.5491388044579534,0.0,0.0,,91.3936,266.0,2.440564174894217,0.3076923076923077,0.37964601769911505,0.40304182509505704
AF100010,Ritika Malhotra,33,Other,2007-11-15,18.01,Marketing,Senior Analyst,UAE,1494266,11.94,4,35,74.1,AF100454,UAE,30-34,0,0,0,0,0.7524752475247525,0.4075471698113208,0.06,0.006010841808816294,0.405,324.36010000000005,296.4,13.552079207920793,0.4,0.3885003885003885,0.37410926365795727
